Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1573579620000,185.04000000,185.04000000,184.90000000,185.01000000,62.04954000,1573579679999,11478.97299080,59,51.09327000,9452.06065990,0
1573579680000,185.02000000,185.07000000,184.93000000,185.07000000,29.68870000,1573579739999,5492.98758900,39,12.08833000,2236.63935120,0
1573579740000,185.09000000,185.12000000,184.98000000,185.03000000,59.17612000,1573579799999,10951.56962320,71,33.09830000,6125.19590410,0
1573579800000,185.02000000,185.15000000,185.02000000,185.13000000,87.18759000,1573579859999,16137.91278950,83,49.89236000,9234.50551140,0
1573579860000,185.13000000,185.35000000,185.13000000,185.31000000,106.57204000,1573579919999,19743.34257450,105,67.73345000,12547.80562680,0
1573579920000,185.32000000,185.36000000,185.23000000,185.28000000,128.88516000,1573579979999,23884.45200410,79,47.71888000,8843.43494230,0
1573579980000,185.28000000,185.45000000,185.28000000,185.39000000,83.50760000,1573580039999,15480.63434310,76,55.78623000,10342.35196440,0
1573580040000,185.39000000,185.45000000,185.39000000,185.44000000,85.47309000,1573580099999,15848.66014030,59,29.70556000,5507.92990980,0
1573580100000,185.40000000,185.45000000,185.32000000,185.36000000,201.53857000,1573580159999,37366.38671420,66,43.25136000,8020.17914150,0
1573580160000,185.36000000,185.42000000,185.25000000,185.31000000,103.88234000,1573580219999,19254.41732120,92,80.00859000,14829.59770220,0
1573580220000,185.31000000,185.46000000,185.24000000,185.42000000,41.11925000,1573580279999,7622.74345480,67,14.92845000,2766.94883300,0
1573580280000,185.43000000,185.47000000,185.35000000,185.44000000,310.35112000,1573580339999,57542.64000260,109,168.52978000,31248.47182870,0
1573580340000,185.44000000,185.81000000,185.42000000,185.81000000,817.07442000,1573580399999,151605.69813530,229,685.79359000,127254.45263150,0
1573580400000,185.74000000,185.84000000,185.65000000,185.79000000,221.00988000,1573580459999,41055.48416070,177,115.84417000,21520.62618860,0
1573580460000,185.79000000,185.81000000,185.69000000,185.73000000,173.39896000,1573580519999,32204.19488470,80,123.09248000,22860.74517420,0
1573580520000,185.74000000,185.81000000,185.69000000,185.72000000,93.39136000,1573580579999,17347.24107940,71,76.15344000,14145.35354450,0
1573580580000,185.73000000,185.83000000,185.70000000,185.74000000,75.97778000,1573580639999,14114.43922340,66,16.77058000,3115.81311260,0
1573580640000,185.72000000,185.72000000,185.54000000,185.68000000,162.42900000,1573580699999,30156.02372840,132,104.65168000,19427.56937730,0
1573580700000,185.68000000,185.85000000,185.61000000,185.74000000,164.99628000,1573580759999,30652.88240060,116,85.48558000,15883.49351090,0
1573580760000,185.73000000,185.81000000,185.68000000,185.78000000,35.44891000,1573580819999,6584.92176250,42,6.87526000,1277.10443940,0
